Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP - Listar Músicas de Playlist,14737,14737,530.0,570.1143813388783,4.234700999859342,2201.1095390002993,229.0,120.92576628010221,120.92576628010221,530,790,940,1000,1200,1400,1600,1700,2100,2200,2200
POST,SOAP - Listar Todas Músicas,11073,0,540.0,581.3479999477967,7.466665000265493,2207.523386000048,17293.0,90.86048788895783,0.0,540,800,950,1000,1200,1400,1600,1800,2100,2200,2200
POST,SOAP - Listar Todos Usuários,10970,0,530.0,571.3983079925265,5.148231000021042,2432.7364579999085,4035.0,90.01531221366093,0.0,530,790,940,1000,1200,1400,1600,1700,2100,2300,2400
,Aggregated,36780,14737,530.0,573.8793224548955,4.234700999859342,2432.7364579999085,6501.471234366503,301.801566382721,120.92576628010221,530,800,940,1000,1200,1400,1600,1700,2100,2200,2400
