Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Listar Músicas de Playlist,14712,0,500.0,573.2358603162043,3.7310089999209595,2317.5851849998708,206.5643012506797,120.83535265011756,0.0,500,770,940,1000,1300,1500,1600,1700,2100,2200,2300
POST,GraphQL - Listar Todas Músicas,11035,0,520.0,585.1185618674226,6.367708999960087,2193.1405489999634,11665.0,90.6347278747993,0.0,520,790,940,1000,1300,1500,1600,1700,2100,2200,2200
POST,GraphQL - Listar Todos Usuários,11083,0,520.0,576.0448315146657,4.394305999994685,2224.6769589999076,2360.0,91.02897046093345,0.0,520,780,940,1000,1300,1500,1600,1700,2100,2200,2200
,Aggregated,36830,0,510.0,577.6414383615518,3.7310089999209595,2317.5851849998708,4287.758050502308,302.4990509858503,0.0,510,780,940,1000,1300,1500,1600,1700,2100,2200,2300
