Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Listar Músicas de Playlist,3646,0,8,9.952757917991844,4.314863999979934,756.2328740000339,208.87575425123424,31.452718363774004,0.0,8,9,9,10,13,17,26,38,720,760,760
POST,GraphQL - Listar Todas Músicas,2663,0,11,13.837619565904369,6.723470999986603,795.1690590000453,11665.0,22.972734230041187,0.0,11,12,13,14,18,22,34,48,780,800,800
POST,GraphQL - Listar Todos Usuários,2735,0,8,9.593219566729987,4.759353000054034,733.9746740001374,2360.0,23.593852091311547,0.0,8,9,9,10,13,17,27,41,92,730,730
,Aggregated,9044,0,9,10.987924788590021,4.314863999979934,795.1690590000453,4232.646616541353,78.01930468512674,0.0,9,10,11,12,15,19,29,43,720,800,800
