Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Listar Músicas de Playlist,14578,0,530.0,560.7855543990943,3.88575200008745,1990.4634419999638,200.33296748525174,120.99270941745465,0.0,530,780,920,1000,1200,1300,1400,1600,1900,2000,2000
POST,GraphQL - Listar Todas Músicas,10856,0,550.0,579.1383516506968,6.679848999965543,1953.1246340000052,11665.0,90.10130699930633,0.0,550,790,950,1000,1200,1400,1500,1700,1900,1900,2000
POST,GraphQL - Listar Todos Usuários,10849,0,540.0,570.5508607710353,4.390177000004769,1942.2242600001027,2360.0,90.04320925160964,0.0,540,790,940,1000,1200,1300,1400,1600,1800,1900,1900
,Aggregated,36283,0,540.0,569.1967049597605,3.88575200008745,1990.4634419999638,4276.364523330485,301.1372256683706,0.0,540,790,930,1000,1200,1300,1500,1600,1900,1900,2000
