Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,REST - Listar Músicas de Playlist,15348,11569,380.0,459.25254128420323,3.1621640000594198,2025.8648029998767,159.74830596820433,128.78212174119204,97.07325817199967,380,560,730,850,1100,1300,1500,1600,1900,1900,2000
GET,REST - Listar Todas Músicas,11553,0,380.0,452.7624765898027,4.367011000113052,2024.1619020000599,11244.0,96.9390052434188,0.0,380,560,730,850,1100,1300,1500,1600,1800,2000,2000
GET,REST - Listar Todos Usuários,11602,0,370.0,452.10093508377673,3.6438939998788555,2441.8011200000365,2238.0,97.35015483719769,0.0,370,560,730,850,1100,1300,1500,1600,1900,2000,2400
,Aggregated,38503,11569,380.0,455.1501946475324,3.1621640000594198,2441.8011200000365,4111.862062696413,323.07128182180855,97.07325817199967,380,560,730,850,1100,1300,1500,1600,1900,2000,2400
