Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,REST - Listar Músicas de Playlist,15918,11848,370.0,436.7263210280833,3.1492000000525877,1920.1797299999726,166.7475813544415,132.84780636149017,98.88056349861388,370,570,750,830,990,1100,1300,1300,1700,1900,1900
GET,REST - Listar Todas Músicas,12209,0,380.0,443.9728206017649,4.381994000141276,1812.789008999971,11244.0,101.89338282871175,0.0,380,580,770,840,1000,1100,1300,1300,1600,1700,1800
GET,REST - Listar Todos Usuários,11924,0,360.0,432.98320074429597,3.539012999908664,1745.768906000194,2238.0,99.51484125231869,0.0,360,560,750,830,1000,1100,1300,1300,1600,1700,1700
,Aggregated,40051,11848,370.0,437.82091409770084,3.1492000000525877,1920.1797299999726,4160.150707847494,334.2560304425206,98.88056349861388,370,570,760,830,1000,1100,1300,1300,1600,1700,1900
