Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP - Listar Músicas de Playlist,14368,14368,490.0,537.8828022602346,4.525417999957426,1797.1345380001367,229.0,121.07353450629874,121.07353450629874,490,750,910,990,1200,1300,1500,1600,1700,1800,1800
POST,SOAP - Listar Todas Músicas,10947,0,500.0,550.3403803917985,7.5509809998948185,1903.4845309997763,17293.0,92.24610121383995,0.0,500,770,930,1000,1200,1300,1500,1600,1800,1800,1900
POST,SOAP - Listar Todos Usuários,10851,0,500.0,544.7108901436745,5.3365649996521825,2048.499171000003,4035.0,91.43714664030121,0.0,500,760,910,990,1200,1300,1500,1600,1800,1900,2000
,Aggregated,36166,14368,490.0,543.7022096989715,4.525417999957426,2048.499171000003,6535.987612674888,304.7567823604399,121.07353450629874,490,760,920,1000,1200,1300,1500,1600,1700,1900,2000
