Method,Name,Error,Occurrences
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 277'),22
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 358'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 372'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 266'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 369'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 164'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 312'),25
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 375'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 124'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 259'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 391'),49
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 202'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 305'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 272'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 382'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 210'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 209'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 361'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 166'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 118'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 226'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 345'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 122'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 129'),24
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 255'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 370'),50
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 114'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 262'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 393'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 302'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 212'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 192'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 324'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 310'),26
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 400'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 318'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 368'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 349'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 398'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 237'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 306'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 296'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 299'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 117'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 261'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 330'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 267'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 119'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 257'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 197'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 339'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 205'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 353'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 233'),53
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 140'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 227'),51
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 131'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 297'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 162'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 115'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 298'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 294'),52
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 395'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 288'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 244'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 135'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 148'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 108'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 196'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 373'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 123'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 121'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 377'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 381'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 177'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 376'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 359'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 290'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 351'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 338'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 256'),29
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 279'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 378'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 301'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 360'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 365'),49
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 143'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 172'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 153'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 154'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 208'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 211'),29
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 128'),49
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 178'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 390'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 247'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 201'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 340'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 232'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 303'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 155'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 138'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 213'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 167'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 399'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 173'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 180'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 204'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 219'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 328'),55
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 186'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 214'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 102'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 311'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 191'),44
