Method,Name,Error,Occurrences
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 377'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 381'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 177'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 376'),50
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 359'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 290'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 351'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 338'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 256'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 279'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 378'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 301'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 360'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 365'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 143'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 172'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 153'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 154'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 208'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 211'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 128'),24
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 178'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 390'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 247'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 201'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 340'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 232'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 303'),49
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 155'),49
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 138'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 213'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 167'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 399'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 173'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 180'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 204'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 219'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 328'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 186'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 214'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 102'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 311'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 191'),50
