Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP - Listar Músicas de Playlist,3592,3592,8,11.212046215755592,4.627347999758058,1293.8942400000997,229.0,31.069700899360065,31.069700899360065,8,9,10,10,13,19,35,50,1300,1300,1300
POST,SOAP - Listar Todas Músicas,2751,0,12,16.296475071973372,8.057546999680198,1287.285865000058,17293.0,23.79530823333506,0.0,12,13,14,15,19,25,41,59,1300,1300,1300
POST,SOAP - Listar Todos Usuários,2627,0,9,11.858232359726259,5.856063000010181,1279.5918039998924,4035.0,22.72274617556205,0.0,9,10,11,12,14,19,32,48,210,1300,1300
,Aggregated,8970,3592,10,12.960629803678259,4.627347999758058,1293.8942400000997,6576.985061315496,77.58775530825717,31.069700899360065,10,11,12,13,16,21,37,51,1300,1300,1300
